"","gender","age_group","education","familiarity","q"
"394","Male","Youths","college_educated","No",2.15384615384615
"395","Female","Adults","No_college","No",2
"396","Female","Adults","college_educated","Yes",1
"397","Female","Youths","college_educated","No",0.384615384615385
"398","Female","Adults","college_educated","Yes",1.30769230769231
"399","Male","Adults","college_educated","No",1.46153846153846
"400","Female","Youths","college_educated","No",2.07692307692308
"401","Male","Adults","college_educated","No",0.769230769230769
"402","Female","Adults","college_educated","No",1.46153846153846
"403","Male","Youths","college_educated","No",1.53846153846154
"404","Female","Adults","college_educated","No",1.15384615384615
"405","Male","Adults","college_educated","No",1.23076923076923
"406","Male","Adults","college_educated","No",0.923076923076923
"407","Male","Adults","college_educated","No",1.53846153846154
"408","Male","Adults","college_educated","No",1.92307692307692
"409","Male","Adults","college_educated","No",2.23076923076923
"410","Male","Youths","college_educated","No",2.15384615384615
"411","Male","Adults","college_educated","Yes",1.15384615384615
"412","Male","Youths","college_educated","No",0.461538461538462
"413","Male","Youths","college_educated","No",2.92307692307692
"414","Female","Youths","college_educated","No",1.46153846153846
"415","Male","Youths","college_educated","No",1.53846153846154
"416","Female","Youths","college_educated","Yes",1.84615384615385
"417","Male","Adults","college_educated","No",0.923076923076923
"418","Female","Youths","college_educated","Yes",1.92307692307692
"419","Male","Adults","college_educated","No",0.307692307692308
"420","Male","Adults","college_educated","No",1.69230769230769
"421","Male","Adults","college_educated","No",1.84615384615385
"422","Female","Youths","college_educated","No",0.846153846153846
"423","Female","Adults","college_educated","No",1.23076923076923
"424","Female","Adults","college_educated","No",2.76923076923077
"425","Female","Adults","college_educated","Yes",0.692307692307692
"426","Male","Adults","college_educated","No",0.384615384615385
"427","Female","Adults","college_educated","Yes",2.30769230769231
"428","Male","Youths","college_educated","No",1.69230769230769
"429","Female","Youths","college_educated","No",1
"430","Female","Adults","college_educated","Yes",1.53846153846154
"431","Female","Youths","No_college","No",1
"432","Male","Adults","college_educated","No",2.53846153846154
"433","Female","Adults","college_educated","No",1
"434","Female","Adults","college_educated","Yes",1
"435","Female","Youths","No_college","No",1.92307692307692
"436","Male","Adults","college_educated","Yes",1.23076923076923
"437","Male","Adults","college_educated","No",0.692307692307692
"438","Female","Youths","No_college","No",1.69230769230769
"439","Female","Youths","college_educated","No",0.615384615384615
"440","Male","Adults","college_educated","No",1.53846153846154
"441","Female","Youths","No_college","No",1
"442","Female","Adults","college_educated","No",0.230769230769231
"443","Male","Adults","college_educated","No",2.84615384615385
"444","Male","Adults","college_educated","No",0.923076923076923
"445","Male","Adults","college_educated","No",0.769230769230769
"446","Female","Youths","college_educated","No",1.53846153846154
"447","Female","Adults","college_educated","No",0
"448","Female","Youths","college_educated","No",0.384615384615385
"449","Male","Adults","college_educated","No",0.923076923076923
"450","Male","Youths","college_educated","No",1
"451","Male","Adults","college_educated","No",0.923076923076923
"452","Female","Elderly","college_educated","Yes",0.230769230769231
"453","Male","Adults","college_educated","No",1.92307692307692
"454","Male","Elderly","college_educated","No",1.92307692307692
"455","Male","Adults","college_educated","No",2.23076923076923
"456","Male","Adults","college_educated","Yes",1.15384615384615
"457","Male","Adults","college_educated","Yes",1.61538461538462
"458","Male","Adults","college_educated","Yes",0.923076923076923
"459","Male","Adults","college_educated","No",0.307692307692308
"460","Male","Elderly","college_educated","No",1.23076923076923
"461","Female","Adults","college_educated","No",0.846153846153846
"462","Male","Adults","college_educated","No",0.769230769230769
"463","Male","Adults","college_educated","Yes",2.23076923076923
"464","Male","Youths","college_educated","No",1.53846153846154
"465","Female","Adults","college_educated","Yes",2.23076923076923
"466","Male","Adults","college_educated","No",1.46153846153846
"467","Female","Youths","college_educated","No",2.23076923076923
"468","Male","Elderly","college_educated","No",3.30769230769231
"469","Female","Youths","college_educated","No",1.84615384615385
"470","Female","Adults","college_educated","No",0.769230769230769
"471","Male","Adults","college_educated","Yes",1.38461538461538
"472","Female","Youths","college_educated","No",1.84615384615385
"473","Male","Adults","college_educated","Yes",0.538461538461538
"474","Female","Youths","No_college","No",1
"475","Female","Youths","college_educated","No",1.69230769230769
"476","Male","Youths","college_educated","No",1.07692307692308
"477","Female","Youths","college_educated","No",1.53846153846154
"478","Male","Youths","college_educated","No",1.07692307692308
"479","Female","Youths","college_educated","No",0.692307692307692
"480","Male","Youths","college_educated","No",2.15384615384615
"481","Male","Adults","No_college","No",2.46153846153846
"482","Male","Adults","college_educated","No",1.84615384615385
"483","Male","Youths","college_educated","No",0.384615384615385
"484","Female","Youths","No_college","No",1.30769230769231
"485","Male","Adults","college_educated","Yes",2.07692307692308
"486","Female","Youths","No_college","No",2.92307692307692
"487","Female","Youths","college_educated","No",2
"488","Female","Youths","college_educated","No",2
"489","Male","Adults","college_educated","No",1.92307692307692
"490","Male","Youths","college_educated","No",0.923076923076923
"491","Male","Youths","college_educated","No",1.92307692307692
